id,text,source,language_tag,concept,sentiment,shop_location,decision_or_recommendation
39,"A food stall must keep a register of all pesticide‑insecticide applications used for pest control, as required by the regulations. He currently writes them on a loose sheet.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,pesticide_record,cautious,urban_india,"Use a bound register and record date, product, dosage, and location of each application."
40,The law requires that any food business that employs a “technical person” must keep proof of their qualification on file. The shop’s manager has a diploma but no certificate copy.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,qualification_documentation,anxious,semi_urban_india,Scan and archive the technical person’s qualification certificates for inspection.
41,"A kirana shop located near a slaughterhouse worries that the foul odour may affect its food items, violating the “sanitary surroundings” clause.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,surrounding_odour,stressed,rural_india,Install air filtration and consider a physical barrier to mitigate odour infiltration.
42,The regulation mandates that all food handlers must wear clean aprons and headcovers. The shop’s staff often work without them.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,protective_clothing,neutral,urban_india,Provide a set of aprons and caps for each employee and enforce daily use.
43,A small pharmacy that sells health drinks must keep a “recall plan” even though it rarely faces recalls. The owner is unsure what to include.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,recall_plan_pharmacy,cautious,urban_india,"Draft a simple plan listing steps to notify distributors, remove product, and inform customers."
44,"The shop must maintain a daily log of production, raw‑material usage, and sales as per Schedule 4. The owner has no digital system.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,daily_record_keeping,anxious,semi_urban_india,Use a spreadsheet or ledger to record quantities each day and back‑up weekly.
45,"The regulations require that any change in the licence‑certified capacity (e.g., increasing production from 80 kg to 120 kg per day) must be approved before implementation. The owner plans to expand.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,capacity_change_approval,cautious,urban_india,Submit a capacity‑increase application with updated equipment details to the Licensing Authority.
46,A small food processing unit discovers that the regulation forbids the use of cadmium‑containing cookware. Their old pots are made of low‑grade metal.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,prohibited_cookware,stressed,semi_urban_india,Replace the old pots with stainless‑steel or food‑grade aluminum alternatives.
47,The regulation mandates that the shop’s premises be “well‑lighted” to enable hygienic work. The owner’s shop has only a single dim bulb.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,adequate_lighting,anxious,rural_india,Install additional LED lighting to achieve at least 540 lux at workstations.
48,"A street vendor learns that the licence fee must be paid via bank draft, demand draft, or online transfer as prescribed. He only carries cash.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,payment_mode,neutral,semi_urban_india,Open a bank account and arrange for online fee payment to comply with the mode requirement.
49,The regulation requires that the shop keep a “true copy” of the licence displayed at all times. The owner only has a photocopy.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,true_copy_display,anxious,urban_india,Obtain an official printed copy from the authority and replace the photocopy.
50,A small bakery must ensure that all containers holding food are covered with lids or clean gauze to prevent contamination. The owner sometimes leaves open bowls on the counter.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,container_cover,cautious,semi_urban_india,Use fitted lids or clean cloth covers for all open containers during operation.
51,"The regulation states that “no person shall manufacture, store or expose for sale any article of food in premises not effectively separated from privy, urinal, or waste.” The shop’s storage room shares a wall with the bathroom.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,separation_from_waste,stressed,rural_india,Build a partition or relocate food storage away from sanitary facilities.
52,A kirana store must ensure that all workers with infectious diseases are not allowed to handle food. The owner is unsure how to verify health status.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,employee_health_screening,anxious,semi_urban_india,Require medical certificates for all food‑handling staff and keep them on file.
53,The regulation requires that all food handlers wash hands with soap before starting work and after using the toilet. The shop’s sink lacks soap dispensers.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,hand_washing_facility,cautious,urban_india,Install wall‑mounted soap dispensers and post hand‑washing reminders.
54,"The shop must keep a “register of sales” indicating the nature and quantity of each food item sold, as part of the recall requirement. The owner tracks only cash totals.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,sales_register,anxious,semi_urban_india,"Start a simple sales ledger noting product name, batch number, and quantity sold each day."
55,A small dairy unit must submit an annual recall plan that includes contact details of distributors. The owner has no distributor list.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,distributor_contact_list,cautious,rural_india,Compile a spreadsheet of all distributors with phone numbers and email addresses.
56,The regulation requires that the licence be renewed for a period of 1–5 years as chosen by the operator. The shop owner is unsure which period is optimal.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,licence_duration_choice,neutral,semi_urban_india,"Choose a 3‑year term to balance stability and flexibility, then apply for renewal accordingly."
57,A street food vendor discovers that the regulation forbids the sale of irradiated food unless a special licence is obtained. He occasionally sells imported canned fish that may be irradiated.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,irradiated_food_prohibition,anxious,urban_india,"Verify product status; if irradiated, cease sale or apply for the specific irradiation licence."
58,The shop must maintain a “clean‑in‑place” (CIP) system for equipment that is required under Schedule 4. The owner has a manual cleaning routine only.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,clean_in_place_system,cautious,semi_urban_india,Install a CIP system for high‑risk equipment or document a validated manual cleaning procedure.
59,"The regulation requires that any “food business operator” display a notice board listing all items cooked in ghee, edible oil, vanaspati, etc., for consumer information. The shop has never displayed such a board.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,consumer_notice_ghee,stressed,urban_india,Create and hang a clear board near the serving area listing all ghee‑based items.
60,"A kirana store must keep a register of the source and quality of all raw materials, as per Schedule 4. The owner buys spices from multiple vendors without records.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,raw_material_source_record,anxious,semi_urban_india,"Maintain a supplier log with purchase date, batch number, and quality certificates."
61,The regulation states that the shop must have a “designated officer” not below the rank of Sub‑Divisional Officer to oversee food safety in the district. The owner wonders who this is.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,designated_officer_contact,neutral,urban_india,Contact the local District Food Safety Office to identify the designated officer.
62,"A small vendor learns that any change in the licence‑certified activity must be communicated before the change occurs, otherwise the licence may be suspended. He wants to add a new beverage line.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,pre_change_notification,cautious,semi_urban_india,File a change‑notification form describing the new beverage before starting production.
63,The regulation requires that the shop keep a “record of water testing” if potable water is supplied from a borewell. The owner uses a borewell but has never tested the water.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,water_testing_record,anxious,rural_india,Send a water sample to a recognized lab quarterly and retain the test reports.
64,A food stall must ensure that all “food‑grade” packaging material is used and that non‑food‑grade plastics are not employed. The owner occasionally uses cheap plastic bags.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,non_food_grade_packaging,stressed,semi_urban_india,Replace cheap bags with certified food‑grade packaging and keep purchase receipts.
65,The regulation mandates that the shop have a “clean drinking water supply” for both processing and personal use. The vendor’s tap water sometimes smells of chlorine.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,drinking_water_quality,cautious,urban_india,Install a point‑of‑use filtration system and test water monthly.
66,"A small bakery must keep a “record of pest‑control measures” including dates and chemicals used, as required by Schedule 4. The owner currently relies on occasional sprays without documentation.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,pest_control_log,anxious,semi_urban_india,Adopt a monthly pest‑control schedule and log each activity with product name and dosage.
67,The regulations require that all “food‑handling areas” be separated from “non‑food areas” such as staff restrooms. The shop’s break room opens directly onto the preparation area.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,area_separation,stressed,urban_india,Install a physical partition or relocate the break room away from the food‑handling zone.
68,The shop must have “adequate ventilation” to prevent the flow of air from dirty to clean areas. The owner’s kitchen has a single exhaust fan that often malfunctions.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,ventilation_requirement,anxious,semi_urban_india,Repair or upgrade the exhaust system to ensure proper airflow direction.
69,The regulation requires that “all equipment and utensils” be of corrosion‑free material and easy to clean. The vendor still uses wooden chopping boards.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,corrosion_free_equipment,cautious,rural_india,Replace wooden boards with food‑grade plastic or stainless‑steel alternatives.
70,"The licence fee for a petty food business is Rs 100, while a larger unit may pay up to Rs 5,000. The owner worries about paying the higher fee for a modest increase in capacity.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,licence_fee_structure,anxious,semi_urban_india,Calculate expected turnover and choose the licence category that matches the fee schedule.
71,A small food processor must submit a “self‑attested declaration of adherence to basic hygiene” with the registration application. The owner is unsure what to include.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,self_attested_declaration,neutral,urban_india,"Draft a declaration covering cleanliness, water quality, pest control, and staff hygiene, then sign it."
72,"The regulation allows a “single licence” to cover multiple articles of food and multiple premises in the same local area, such as a milk cooperative and its collection points. The shop owner wants to know if his multiple stalls can share one licence.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,multi_premise_licence,hopeful,semi_urban_india,Apply for a combined licence covering all stalls within the same locality.
73,"The law requires that the “food business operator shall not manufacture, store or expose for sale any article of food in premises not effectively separated from privy, urinal, or waste.” The owner’s storage room is adjacent to a communal toilet.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,waste_separation,stressed,rural_india,Relocate storage to a different room or construct a sealed barrier between it and the toilet.
74,The regulation mandates that all “food handlers” avoid wearing false nails or loose jewellery. The shop’s assistant wears a silver bracelet.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,jewellery_restriction,cautious,semi_urban_india,Enforce a dress‑code that prohibits jewellery while handling food.
75,"A small retailer must keep a “record of temperature control” for all cold‑storage units, ensuring that milk is stored at ≤ 4 °C. The shop uses a basic refrigerator without a temperature log.","FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,temperature_log_cold_storage,anxious,urban_india,Place a digital thermometer in the fridge and record readings twice daily.
76,The regulations require that “any vehicle used to transport foods must be clean and maintain required temperature.” The vendor’s motorbike is often dusty.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,vehicle_cleanliness,cautious,semi_urban_india,Clean the bike daily and use insulated carriers to keep foods at safe temperatures.
77,The shop must maintain “adequate facilities for hand washing” with hot and cold water and proper drying means. The vendor only has a single faucet with no hand‑dryer.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,hand_washing_facilities,anxious,rural_india,Install a second faucet with a soap dispenser and provide disposable paper towels.
78,The regulation specifies that “all licences shall be issued within 60 days of application ID issuance.” The owner’s application has been pending for 75 days.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,licence_issuance_timeline,stressed,urban_india,Send a formal reminder to the Licensing Authority citing the statutory 60‑day deadline.
79,The law requires that “any person or agency authorized for inspection may issue a notice guiding the operator to make necessary changes.” The shop receives such a notice but is unclear about the required actions.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,inspection_notice_response,cautious,semi_urban_india,Prepare a written action plan addressing each point and submit it within 30 days.
80,A small food processor must have at least one “technical person” with a degree in Food Technology or related field. The owner only has a high‑school graduate.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,technical_person_qualification,anxious,rural_india,Hire a part‑time qualified consultant to fulfill the technical person requirement.
81,The regulation mandates that “any change that alters information on the licence certificate shall require prior approval.” The shop wants to change its address on the licence.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,licence_address_change,cautious,urban_india,Submit an amendment request with proof of new address and pay the one‑year fee.
82,The shop must ensure that “no food other than that indicated in the licence is produced.” The owner occasionally improvises a new snack without updating the licence.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,unapproved_product_production,anxious,semi_urban_india,Add the new snack to the licence through a formal amendment before producing it.
83,The regulation requires that “all food business operators shall keep a record of raw‑material procurement source.” The vendor sources spices from a local market with no invoices.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,procurement_source_record,stressed,rural_india,Request written receipts from market sellers and store them for inspection.
84,The shop must display a “true copy of the licence” at a prominent place in the premises at all times. The owner keeps it hidden in a drawer.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,licence_display_visibility,anxious,semi_urban_india,Mount the licence on the wall near the cash counter where customers can see it.
85,A small retailer must ensure that “all equipment shall be placed well away from walls to allow proper inspection.” The owner’s mixers are tucked into a corner.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,equipment_spacing,cautious,urban_india,Rearrange the shop layout so that each machine has at least 30 cm clearance on all sides.
86,The regulation requires that “all waste water must be treated or disposed of according to the pollution‑control board.” The shop drains directly into a nearby stream.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,waste_water_compliance,stressed,rural_india,Connect to the municipal sewer or install a small grease trap and settle tank.
87,The shop must maintain “a register of medical fitness certificates of all food handlers.” The owner has no such certificates.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,medical_fitness_register,anxious,semi_urban_india,Arrange a medical check‑up for each staff member and file the certificates.
88,The regulation mandates “annual food safety inspection” for all registered establishments. The owner worries about being caught without a recent audit.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,annual_inspection,anxious,urban_india,Schedule a pre‑inspection self‑audit six months before the due date.
89,The shop must keep a “record of temperature control during transportation” for perishable goods. The vendor transports milk in a basic cooler without temperature logs.,"FOOD SAFETY AND STANDARDS (LICENSING AND REGISTRATION OF FOODBUSINESSES), REGULATIONS 2011",en,transport_temperature_log,cautious,semi_urban_india,Use a portable data logger in the cooler and record temperatures for each trip.
